1486555242.dat<>【悲報】嫌儲民の「じゃ」予測変換、全員「ジャップ」説 [無断転載禁止]&#169;2ch.net	 [819818695] (982)
1486519778.dat<>まんこさん「婚活パーティー行ったら男は若い女にしか話しかけない。ちんこ頭おかしいだろ」 [無断転載禁止]&#169;2ch.net	 [977261419] (544)
1486541601.dat<>落ち目のきゃりーぱみゅぱみゅこと児童ポルノ竹村桐子ちゃん、死んだ18歳アイドルに親しくもないのに追悼ツイートで世間へアピール [無断転載禁止]&#169;2ch.net	 [875920232] (19)
1486571587.dat<>福島みずぽ「みずほ塾を始めますぅ。講師は辛淑玉氏や浜矩子氏で、塾費は１万円ですぅ」 [無断転載禁止]&#169;2ch.net	 [538835723] (39)
1486572287.dat<>鈴木奈々、乳がん陽性 [無断転載禁止]&#169;2ch.net	 [252358651] (104)
1486564753.dat<>宮崎駿「電車でオナニーのようにタブレットを弄る人間だらけ。うんざり。全能感を手に入れているだけ。昔のラジカセ背負った人と一緒」 [無断転載禁止]&#169;2ch.net	 [876811395] (524)
1486576340.dat<>WSJ「安倍ちゃん、トランプに媚びても足元見られて搾取されるだけだよ。そんなに日本の影響力を高めたいならまず国内の経済を強くしろ」 [無断転載禁止]&#169;2ch.net	 [253246518] (11)
1486549786.dat<>【悲報】JASRAC玉井さん、理論武装した凸者に完全論破され涙目ブロック逃走ｗｗｗｗｗｗ★2 [無断転載禁止]&#169;2ch.net	 [434596658] (276)
1486563287.dat<>JASRAC「手数料引いたら作曲家に払う金無くなったわゴメンｗ」 [無断転載禁止]&#169;2ch.net	 [439663139] (690)
1486554432.dat<>マイクロソフト、Git上の巨大なリポジトリ群を管理するための仮想ファイルシステム「GVFS」を発表 [無断転載禁止]&#169;2ch.net	 [787645228] (19)
1486568693.dat<>「介護福祉士が足りねー！」　政府、効いてるw効いてるーwもっと足りなくしてやるw　受験資格に450h実務研修を加え受験者6割減↓ [無断転載禁止]&#169;2ch.net	 [873520422] (205)
1486555967.dat<>「ゲーム業界志望の学生です。みんな、どうしてテレビゲームに飽きちゃったんですか？」 [無断転載禁止]&#169;2ch.net	 [588232964] (203)
1486505420.dat<>中国…汚職をした官僚は死刑 財産没収の上死ぬまで強制労働 日本…汚職した官僚は天下り 退職金約6000万円を払う←この差って何ですか？ [無断転載禁止]&#169;2ch.net	 [786648259] (114)
1486546346.dat<>真夏の夜の淫夢 [無断転載禁止]&#169;2ch.net	 [691974599] (518)
1486565896.dat<>【画像】まもなく完成予定の中国の最先端都市がヤバ過ぎるw [無断転載禁止]&#169;2ch.net	 [479913954] (908)
1486549383.dat<>天皇陛下、安倍首相を睨みつける（画像） [無断転載禁止]&#169;2ch.net	 [479913954] (109)
1486569960.dat<>また閉店…迷走する「小僧寿し」 [無断転載禁止]&#169;2ch.net	 [566475398] (54)
1486456001.dat<>【速報】安倍ちゃん国会でブチギレ「だから違うって言ったじゃないですかっ！新聞の記事で私を追求するのやめましょうよ！」 [無断転載禁止]&#169;2ch.net	 [582949951] (493)
1486492668.dat<>女友達と弾丸仙台旅行に行くんだが、ここだけは行っておけってところある？ [無断転載禁止]&#169;2ch.net	 [808428691] (229)
