1487052163.dat<>弁護士チンポ切断事件、懲役4年6カ月の実刑判決で被告人の控訴棄却 [無断転載禁止]&#169;2ch.net	 [892356801] (40)
1486992670.dat<>東大教授 「日本のAIは世界に15年遅れている。人型ロボットなんかに執着してたから」 [無断転載禁止]&#169;2ch.net	 [665913571] (148)
1487052569.dat<>お前らがコーヒー飲む時のキメ台詞って何？　俺は「この腐った街に乾杯」 [無断転載禁止]&#169;2ch.net	 [823873713] (11)
1487032636.dat<>熱海が廃れた理由が明らかに　社員旅行が減ったから [無断転載禁止]&#169;2ch.net	 [479556552] (37)
1487052450.dat<>「最初の入り口がオブジェクト指向なんだよね最近の子って」←なんで叩かれてる流れなの？ [無断転載禁止]&#169;2ch.net	 [596385156] (8)
1487049115.dat<>しくじり先生を見て思ったが「洗脳」って俺たち相手には無理だよな。生まれた時から全てを疑って生きているから。 [無断転載禁止]&#169;2ch.net	 [793337701] (148)
1486941494.dat<>【悲報】東京一極集中による都市成長効果はなく、景気回復局面では地方の成長がリードしてきたと証明した資料が発表される [無断転載禁止]&#169;2ch.net	 [157776492] (312)
1486893019.dat<>【悲報】日本国民の資産５１兆円が東京圏に奪われ、地方が死亡確定　自民党とマスゴミごと東京圏を潰さないと今後大変なことに！！ [無断転載禁止]&#169;2ch.net	 [901679184] (100)
1487050147.dat<>【悲報】飲食業界、厚労省に抗議　「原則禁煙なんてされたら潰れてしまう」「タバコは合法」「禁煙大国ではなく分煙大国を目指すべき」 [無断転載禁止]&#169;2ch.net	 [808856812] (112)
1487052199.dat<>弁護士チンコ切断事件に懲役４年６月　　裁判長「弁護士も屑だけど流石にやりすぎ」 [無断転載禁止]&#169;2ch.net	 [819818695] (24)
1487046752.dat<>【悲報】まんこ 「くそキモ男に盗撮された。カシャーって無音カメラの存在も知らんのか、死ねじじい。一応撮り返しといた」 [無断転載禁止]&#169;2ch.net	 [434596658] (330)
1487052518.dat<>【速報】　東芝、新たな不正発覚 [無断転載禁止]&#169;2ch.net	 [999068623] (44)
1486997671.dat<>2月14日は声優の高森奈津美さん（30歳）の誕生日です。みくにゃん、ひおたん、すばる [無断転載禁止]&#169;2ch.net	 [275723402] (28)
1487049596.dat<>【画像】2017年春アニメ豊作すぎワロタｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ [無断転載禁止]&#169;2ch.net	 [728574279] (233)
1487052391.dat<>イスラム教徒「バレンタインを潰せー！」 日本人「潰せー！」 イスラム教徒「気軽にセックスするなー！ 」　日本人「するなー！」 [無断転載禁止]&#169;2ch.net	 [895142347] (8)
1487045400.dat<>トランプ政権もうボロボロｗｗｗ発足1ヶ月で目玉のマイケル・フリン補佐官が辞任ｗｗｗｗｗｗ [無断転載禁止]&#169;2ch.net	 [204160824] (440)
1487050354.dat<>はじめしゃちょー、有料ファンサイトを開設 まだまだ稼ぎ足りない模様 [無断転載禁止]&#169;2ch.net	 [315028175] (28)
1487046673.dat<>お前らの中学の時のあだ名何だった？俺は「破壊神」 [無断転載禁止]&#169;2ch.net	 [916317987] (131)
1487034521.dat<>【AMD】Ryzenの3DMARK FireStrike Physicsスコアがリーク 7700K@4.8GHzと6C12T@3.3GHzが同等 シングル性能はBroadwellと同等 [無断転載禁止]&#169;2ch.net	 [402859164] (304)
1487045823.dat<>( ヽ´ん`)｢独身貴族だけど既婚の同僚はやたら俺のことを羨んでくるw自分のために金使えないから｣ [無断転載禁止]&#169;2ch.net	 [875920232] (124)
1487042623.dat<>ネトウヨ出版社青林堂、パワハラの件について「パワハラを盾にして企業を脅す悪質な怠慢傲慢社員は最低。1番の被害者は他の社員」 [無断転載禁止]&#169;2ch.net	 [913542934] (51)
1486942049.dat<>【やきう】 野球って元来楽しいスポーツなのに、何で日本の猿にやらせると陰気で抑圧的な苦行になるの？ [無断転載禁止]&#169;2ch.net	 [989661427] (100)
1486906890.dat<>【緊急会議】「貧困」の定義をそろそろはっきりさせよう。スマホは贅沢品だとしてあと何かある？ [無断転載禁止]&#169;2ch.net	 [596385156] (252)
1487000740.dat<>【かわいい画像付】美人声優の上坂すみれさんがバスツアー開催　日帰りで1万9千円と格安！！！ [無断転載禁止]&#169;2ch.net	 [388685895] (119)
1487045894.dat<>HuluがNetflixに勝てない理由 [無断転載禁止]&#169;2ch.net	 [591262568] (65)
1487043722.dat<>宮根誠司　坂上忍　井上公造　三村マサカズ　カンニング竹山　こいつらさあ… [無断転載禁止]&#169;2ch.net	 [389124812] (62)
1487050515.dat<>キレる高齢者激増　65歳以上の「暴行」49倍に　今の日本は若者にはとても住みにくい国に [無断転載禁止]&#169;2ch.net	 [169920436] (12)
1487041828.dat<>【悲報】東芝、本日12時に予定していた決算発表を延期。いったい何が始まるんです？ [無断転載禁止]&#169;2ch.net	 [202859999] (729)
1487044310.dat<>【画像】これがイマドキの学校でのバレンタイン風景ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ男子と女子が仲が良いのが当たり前ｗｗｗｗｗｗｗｗｗｗ [無断転載禁止]&#169;2ch.net	 [899382504] (802)
1487026106.dat<>ミスチルのギターの技術は中学生レベル　　←これマジなの？ [無断転載禁止]&#169;2ch.net	 [242521385] (203)
1486899453.dat<>【画像】ゆりしーこと落合祐里香さんの現在ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ [無断転載禁止]&#169;2ch.net	 [966784553] (514)
1486888875.dat<>馬鹿「アメリカは時給高くても物価が高い」　⇒　牛肉 ３㎏ ９ドル（1000円）でしたｗｗｗｗｗwｗ [無断転載禁止]&#169;2ch.net	 [339454773] (94)
1487048292.dat<>長谷川豊氏「叩きがいあるでしょ？なかなかへたばらないし」　次期衆院選に自信 [無断転載禁止]&#169;2ch.net	 [769327952] (24)
1486986225.dat<>ニンテンドーSwitch新作ソフト「ARMS」が神ゲーっぽいと話題に。第２のスプラトゥーンになるか [無断転載禁止]&#169;2ch.net	 [811796219] (196)
1486964931.dat<>嫌儲 叱られるとすぐに涙がポロポロとこぼれてしまう部　親の教育が関係してるらしい [無断転載禁止]&#169;2ch.net	 [188715789] (252)
1487047370.dat<>twitterで知り合った16歳女子高生と交際及びセックスした罪で北海道大学の院生　土谷郁貴くん24歳を逮捕　住所氏名公開で人生終了 [無断転載禁止]&#169;2ch.net	 [998357762] (116)
